mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.513795280456543,0.13421207448911748,0.03047809600830078,0.004021784592494543,0.8,0.03,2,1,100,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.37893700787401574,0.45964566929133854,0.29865016872890887,0.5371203599550056,0.5427446569178853,0.4434195725534308,0.09383472447913035,141,0.8357317404289981,0.8614241107792561,0.8666338582677164,0.8305446194225721,0.8394685039370079,0.8467605665671101,0.014475727111682057
0.5597083091735839,0.17318992029761773,0.028958797454833984,0.0016821643148967828,0.8,0.03,2,1,100,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.5,0.46456692913385833,0.3295838020247469,0.5427446569178853,0.6316085489313836,0.4937007874015748,0.09924383960064928,29,0.8259571001900625,0.8336614173228347,0.845734908136483,0.818503937007874,0.8340879265091864,0.8315890578332882,0.009094871447408922
0.4762861728668213,0.10993665631142235,0.02837834358215332,0.004371686312326761,0.8,0.03,2,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.4360236220472441,0.46653543307086615,0.3093363329583802,0.5309336332958381,0.5067491563554556,0.4499156355455568,0.07749285266633345,135,0.884706760792832,0.8991990225359761,0.9307414698162729,0.8787073490813648,0.891699475065617,0.8970108154584124,0.0182052864466407
0.48950767517089844,0.1558493168714346,0.026557207107543945,0.0027382903183207218,0.8,0.03,2,1,200,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.5246062992125985,0.5270669291338583,0.32564679415073117,0.5821147356580427,0.5736782902137233,0.5066226096737909,0.09347636543014033,9,0.8622047244094488,0.867736899266902,0.9131233595800525,0.8724409448818897,0.8712926509186352,0.8773597158113857,0.01823356334962188
0.5627641677856445,0.42545835565420903,0.03271651268005371,0.008041195929785588,0.8,0.03,2,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.4596456692913386,0.4645669291338583,0.3194600674915636,0.5421822272215973,0.48425196850393704,0.4540213723284589,0.07339729085556804,124,0.9459679609014391,0.933613901710562,0.9657152230971129,0.9339566929133858,0.9333989501312336,0.9425305457507467,0.012535937288832517
0.19392838478088378,0.026823728307332206,0.030876731872558592,0.005762802370564773,0.8,0.03,2,1,400,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.5226377952755905,0.5177165354330708,0.34758155230596177,0.5995500562429696,0.4881889763779528,0.49513498312710913,0.08244889402686065,22,0.9316114580505023,0.9135894651099647,0.9492782152230971,0.9286089238845143,0.9250984251968504,0.9296372974929857,0.01156593962789551
0.08292965888977051,0.004443952863659377,0.0266207218170166,0.0017787176547536603,0.8,0.03,2,3,100,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.3513779527559055,0.5206692913385828,0.359392575928009,0.5438695163104612,0.5050618672665916,0.45607424071991004,0.08317328363783907,118,0.8055932663589465,0.8136709204452892,0.8563976377952756,0.8107939632545933,0.8277887139107611,0.8228489003529731,0.018315202811466785
0.07420334815979004,0.003528858627959494,0.025770807266235353,0.002660038532123637,0.8,0.03,2,3,100,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.45177165354330706,0.4936023622047244,0.30258717660292467,0.452755905511811,0.5354330708661417,0.4472300337457818,0.07861664746803756,136,0.8113290795547108,0.8150285093673636,0.8590223097112861,0.8187664041994751,0.8209645669291338,0.8250221739523939,0.01731463096691232
0.12747130393981934,0.01322262148230004,0.02498936653137207,0.0022797413635650605,0.8,0.03,2,3,200,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.4370078740157481,0.4940944881889764,0.3644544431946007,0.5326209223847019,0.4364454443194601,0.45292463442069747,0.05726838024303885,127,0.8651235405919087,0.8494433885419495,0.9137795275590551,0.8620406824146982,0.8668963254593176,0.8714566929133859,0.022024417927149473
0.12424664497375489,0.03611752543032296,0.024608135223388672,0.0019041772942028797,0.8,0.03,2,3,200,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.48228346456692917,0.5275590551181102,0.3346456692913386,0.4235095613048369,0.4628796400449944,0.4461754780652418,0.06505189368235953,139,0.8450312245452077,0.8571816453977735,0.9050524934383202,0.8638123359580053,0.846981627296588,0.863611865327179,0.02181980111679765
