model,mean_fold_auc,std_fold_auc,median_fold_auc,oof_auc
word_svm,0.6476743532058492,0.09359382254909848,0.6490438695163104,0.6679719089167908
logistic_blend_char_0.75,,,,0.6451585443711427
logistic_blend_char_0.50,,,,0.6355394764843584
rank_all_four,,,,0.6283464566929133
logistic_blend_char_0.25,,,,0.6282187699510534
word_logistic,0.6181552305961755,0.09219394707907448,0.6209223847019123,0.6231538625239413
rank_char_logistic_plus_char_svm,,,,0.6156841881251329
char_svm,0.6062767154105736,0.10737701841706149,0.5968082114735658,0.6119599914875504
char_logistic,0.6276982564679416,0.09957458592954689,0.640255905511811,0.580634177484571
